,scaled_input_default,scaled_input_account_check_status,scaled_input_duration_in_month,scaled_input_credit_history,scaled_input_purpose,scaled_input_credit_amount,scaled_input_savings,scaled_input_present_emp_since,scaled_input_installment_as_income_perc,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_present_res_since,scaled_input_property,scaled_input_age,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,origin_input_default,origin_input_account_check_status,origin_input_duration_in_month,origin_input_credit_history,origin_input_purpose,origin_input_credit_amount,origin_input_savings,origin_input_present_emp_since,origin_input_installment_as_income_perc,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_present_res_since,origin_input_property,origin_input_age,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,scaled_cf_account_check_status,scaled_cf_duration_in_month,scaled_cf_credit_history,scaled_cf_purpose,scaled_cf_credit_amount,scaled_cf_savings,scaled_cf_present_emp_since,scaled_cf_installment_as_income_perc,scaled_cf_personal_status_sex,scaled_cf_other_debtors,scaled_cf_present_res_since,scaled_cf_property,scaled_cf_age,scaled_cf_other_installment_plans,scaled_cf_housing,scaled_cf_credits_this_bank,scaled_cf_job,scaled_cf_people_under_maintenance,scaled_cf_telephone,scaled_cf_foreign_worker,scaled_cf_default,origin_cf_account_check_status,origin_cf_duration_in_month,origin_cf_credit_history,origin_cf_purpose,origin_cf_credit_amount,origin_cf_savings,origin_cf_present_emp_since,origin_cf_installment_as_income_perc,origin_cf_personal_status_sex,origin_cf_other_debtors,origin_cf_present_res_since,origin_cf_property,origin_cf_age,origin_cf_other_installment_plans,origin_cf_housing,origin_cf_credits_this_bank,origin_cf_job,origin_cf_people_under_maintenance,origin_cf_telephone,origin_cf_foreign_worker,origin_cf_default,running_time,Found,ground_truth,prediction
0,Y,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,unknown/ no savings account,1 <= ... < 4 years,1.0,male : single,guarantor,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,unknown/ no savings account,1 <= ... < 4 years,4.0,male : single,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.18926191329956055,Y,Y,Y
0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.849856022,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.18677391,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,15695.283343828001,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,29.45933896,none,rent,1,skilled employee / official,1,none,yes,Y,0.15926718711853027,Y,Y,N
0,N,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.11461428414218112,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,bank,own,1,unskilled - resident,1,none,yes,N,0 <= ... < 200 DM,23.999999999999996,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,bank,own,1,unskilled - resident,1,none,yes,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.11461428414218112,unknown/ no savings account,... < 1 year ,1.0,male : divorced/separated,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,bank,own,1,unskilled - resident,1,none,yes,Y,0 <= ... < 200 DM,23.999999999999996,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : divorced/separated,none,2.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,bank,own,1,unskilled - resident,1,none,yes,Y,0.16301894187927246,Y,N,N
0,Y,< 0 DM,0.20588235294117646,existing credits paid back duly till now,radio/television,0.09843732805106195,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.01785714285714285,bank,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,18.0,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,no checking account,0.20588235294117646,existing credits paid back duly till now,radio/television,0.939400964,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.01785714285714285,bank,rent,1,skilled employee / official,1,none,yes,N,no checking account,18.0,existing credits paid back duly till now,radio/television,17322.673119736,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,N,0.15880990028381348,Y,Y,Y
0,N,0 <= ... < 200 DM,0.16176470588235292,critical account/ other credits existing (not at this bank),domestic appliances,0.1363486299108617,unknown/ no savings account,4 <= ... < 7 years,1.0,male : single,guarantor,0.3333333333333333,real estate,0.28571428571428575,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0 <= ... < 200 DM,15.0,critical account/ other credits existing (not at this bank),domestic appliances,2728.0,unknown/ no savings account,4 <= ... < 7 years,4.0,male : single,guarantor,2.0,real estate,35.0,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,0 <= ... < 200 DM,0.16176470588235292,critical account/ other credits existing (not at this bank),domestic appliances,0.1363486299108617,unknown/ no savings account,4 <= ... < 7 years,1.0,male : divorced/separated,guarantor,0.3333333333333333,real estate,0.28571428571428575,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,0 <= ... < 200 DM,15.0,critical account/ other credits existing (not at this bank),domestic appliances,2728.0,unknown/ no savings account,4 <= ... < 7 years,4.0,male : divorced/separated,guarantor,2.0,real estate,35.0,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,0.1884620189666748,Y,N,N
0,N,0 <= ... < 200 DM,0.16176470588235292,existing credits paid back duly till now,domestic appliances,0.06569825024760646,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.0,if not A121 : building society savings agreement/ life insurance,0.07142857142857145,none,own,1,skilled employee / official,1,none,yes,N,0 <= ... < 200 DM,15.0,existing credits paid back duly till now,domestic appliances,1444.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,23.0,none,own,1,skilled employee / official,1,none,yes,0 <= ... < 200 DM,0.16176470588235292,existing credits paid back duly till now,car (new),0.06569825024760646,unknown/ no savings account,... < 1 year ,0.8,male : single,none,0.0,if not A121 : building society savings agreement/ life insurance,0.07142857142857145,none,own,1,skilled employee / official,1,none,yes,Y,0 <= ... < 200 DM,15.0,existing credits paid back duly till now,car (new),1444.0,unknown/ no savings account,... < 1 year ,3.4,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,23.0,none,own,1,skilled employee / official,1,none,yes,Y,0.15804409980773926,Y,N,N
0,N,>= 200 DM / salary assignments for at least 1 year,0.47058823529411764,existing credits paid back duly till now,domestic appliances,0.23236491691427316,... < 100 DM,.. >= 7 years,1.0,male : single,none,0.3333333333333333,"if not A121/A122 : car or other, not in attribute 6",0.21428571428571425,none,own,1,skilled employee / official,1,none,yes,N,>= 200 DM / salary assignments for at least 1 year,36.0,existing credits paid back duly till now,domestic appliances,4473.0,... < 100 DM,.. >= 7 years,4.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",30.999999999999996,none,own,1,skilled employee / official,1,none,yes,>= 200 DM / salary assignments for at least 1 year,0.47058823529411764,existing credits paid back duly till now,car (new),0.23236491691427316,... < 100 DM,.. >= 7 years,1.0,male : single,none,0.3333333333333333,"if not A121/A122 : car or other, not in attribute 6",0.21428571428571425,none,own,1,skilled employee / official,1,none,yes,Y,>= 200 DM / salary assignments for at least 1 year,36.0,existing credits paid back duly till now,car (new),4473.0,... < 100 DM,.. >= 7 years,4.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",30.999999999999996,none,own,1,skilled employee / official,1,none,yes,Y,0.15844297409057617,Y,N,N
0,N,< 0 DM,0.16176470588235292,existing credits paid back duly till now,car (new),0.08093980411576977,... < 100 DM,... < 1 year ,0.3333333333333333,male : single,none,0.6666666666666667,real estate,0.30357142857142855,none,own,1,skilled employee / official,1,none,yes,N,< 0 DM,15.0,existing credits paid back duly till now,car (new),1721.0,... < 100 DM,... < 1 year ,2.0,male : single,none,3.0,real estate,36.0,none,own,1,skilled employee / official,1,none,yes,< 0 DM,0.16176470588235292,existing credits paid back duly till now,furniture/equipment,0.08093980411576977,... < 100 DM,... < 1 year ,0.3333333333333333,male : single,none,0.6666666666666667,real estate,0.72992956,none,own,1,skilled employee / official,1,none,yes,N,< 0 DM,15.0,existing credits paid back duly till now,furniture/equipment,1721.0,... < 100 DM,... < 1 year ,2.0,male : single,none,3.0,real estate,59.876055359999995,none,own,1,skilled employee / official,1,none,yes,N,0.1591479778289795,Y,N,Y
0,Y,< 0 DM,0.2941176470588235,all credits at this bank paid back duly,radio/television,0.36436667767139874,... < 100 DM,... < 1 year ,0.3333333333333333,male : divorced/separated,none,0.0,if not A121 : building society savings agreement/ life insurance,0.6428571428571428,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,23.999999999999996,all credits at this bank paid back duly,radio/television,6872.000000000001,... < 100 DM,... < 1 year ,2.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,54.99999999999999,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.2941176470588235,all credits at this bank paid back duly,radio/television,0.36436667767139874,... < 100 DM,... < 1 year ,0.3333333333333333,male : divorced/separated,guarantor,0.0,if not A121 : building society savings agreement/ life insurance,0.6428571428571428,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,23.999999999999996,all credits at this bank paid back duly,radio/television,6872.000000000001,... < 100 DM,... < 1 year ,2.0,male : divorced/separated,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,54.99999999999999,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.16239595413208008,Y,Y,Y
0,N,< 0 DM,0.16176470588235292,critical account/ other credits existing (not at this bank),radio/television,0.0675690546935182,... < 100 DM,.. >= 7 years,1.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",0.44642857142857145,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,N,< 0 DM,15.0,critical account/ other credits existing (not at this bank),radio/television,1478.0,... < 100 DM,.. >= 7 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",44.0,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,< 0 DM,0.16176470588235292,no credits taken/ all credits paid back duly,radio/television,0.0675690546935182,... < 100 DM,.. >= 7 years,1.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",0.45544674,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,Y,< 0 DM,15.0,no credits taken/ all credits paid back duly,radio/television,1478.0,... < 100 DM,.. >= 7 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",44.50501744,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,Y,0.1887509822845459,Y,N,N
